,결과,A팀_선수1_공격종합_성공률,A팀_선수1_오픈_성공률,A팀_선수1_시간차_성공률,A팀_선수1_이동_성공률,A팀_선수1_후위_성공률,A팀_선수1_속공_성공률,A팀_선수1_퀵오픈_성공률,A팀_선수1_서브_성공률,A팀_선수1_범실_범실,A팀_선수2_공격종합_성공률,A팀_선수2_오픈_성공률,A팀_선수2_시간차_성공률,A팀_선수2_이동_성공률,A팀_선수2_후위_성공률,A팀_선수2_속공_성공률,A팀_선수2_퀵오픈_성공률,A팀_선수2_서브_성공률,A팀_선수2_범실_범실,A팀_선수3_공격종합_성공률,A팀_선수3_오픈_성공률,A팀_선수3_시간차_성공률,A팀_선수3_이동_성공률,A팀_선수3_후위_성공률,A팀_선수3_속공_성공률,A팀_선수3_퀵오픈_성공률,A팀_선수3_서브_성공률,A팀_선수3_범실_범실,A팀_선수4_공격종합_성공률,A팀_선수4_오픈_성공률,A팀_선수4_시간차_성공률,A팀_선수4_이동_성공률,A팀_선수4_후위_성공률,A팀_선수4_속공_성공률,A팀_선수4_퀵오픈_성공률,A팀_선수4_서브_성공률,A팀_선수4_범실_범실,A팀_선수5_공격종합_성공률,A팀_선수5_오픈_성공률,A팀_선수5_시간차_성공률,A팀_선수5_이동_성공률,A팀_선수5_후위_성공률,A팀_선수5_속공_성공률,A팀_선수5_퀵오픈_성공률,A팀_선수5_서브_성공률,A팀_선수5_범실_범실,B팀_선수1_공격종합_성공률,B팀_선수1_오픈_성공률,B팀_선수1_시간차_성공률,B팀_선수1_이동_성공률,B팀_선수1_후위_성공률,B팀_선수1_속공_성공률,B팀_선수1_퀵오픈_성공률,B팀_선수1_서브_성공률,B팀_선수1_범실_범실,B팀_선수2_공격종합_성공률,B팀_선수2_오픈_성공률,B팀_선수2_시간차_성공률,B팀_선수2_이동_성공률,B팀_선수2_후위_성공률,B팀_선수2_속공_성공률,B팀_선수2_퀵오픈_성공률,B팀_선수2_서브_성공률,B팀_선수2_범실_범실,B팀_선수3_공격종합_성공률,B팀_선수3_오픈_성공률,B팀_선수3_시간차_성공률,B팀_선수3_이동_성공률,B팀_선수3_후위_성공률,B팀_선수3_속공_성공률,B팀_선수3_퀵오픈_성공률,B팀_선수3_서브_성공률,B팀_선수3_범실_범실,B팀_선수4_공격종합_성공률,B팀_선수4_오픈_성공률,B팀_선수4_시간차_성공률,B팀_선수4_이동_성공률,B팀_선수4_후위_성공률,B팀_선수4_속공_성공률,B팀_선수4_퀵오픈_성공률,B팀_선수4_서브_성공률,B팀_선수4_범실_범실,B팀_선수5_공격종합_성공률,B팀_선수5_오픈_성공률,B팀_선수5_시간차_성공률,B팀_선수5_이동_성공률,B팀_선수5_후위_성공률,B팀_선수5_속공_성공률,B팀_선수5_퀵오픈_성공률,B팀_선수5_서브_성공률,B팀_선수5_범실_범실
374,0,48.0,41.67,0.0,0.0,0.0,0.0,53.85,0.0,1.0,44.83,33.33,0.0,0.0,50.0,0.0,50.0,0.33,4.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,50.0,0.0,50.0,0.0,66.67,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0,38.3,27.27,0.0,0.0,50.0,0.0,42.86,0.33,1.0,36.36,16.67,100.0,0.0,0.0,0.0,55.56,0.0,4.0,28.57,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,35.71,22.22,100.0,0.0,0.0,0.0,33.33,0.0,1.0,44.44,20.0,100.0,0.0,0.0,66.67,0.0,0.0,2.0
375,0,44.0,42.86,0.0,0.0,0.0,0.0,50.0,0.0,2.0,43.64,46.15,0.0,0.0,0.0,0.0,41.38,0.0,4.0,21.74,18.75,0.0,0.0,33.33,0.0,16.67,0.2,6.0,38.1,20.0,0.0,37.5,0.0,50.0,0.0,0.2,3.0,37.5,66.67,0.0,0.0,0.0,25.0,0.0,0.0,1.0,31.82,33.33,0.0,0.0,25.0,0.0,60.0,0.33,6.0,29.41,15.38,0.0,0.0,0.0,0.0,75.0,0.0,0.0,37.14,36.0,0.0,0.0,66.67,0.0,28.57,0.33,2.0,50.0,40.0,100.0,0.0,0.0,100.0,0.0,0.0,1.0,40.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,2.0
376,0,34.67,21.21,0.0,0.0,47.62,0.0,45.0,0.0,4.0,21.21,8.33,50.0,0.0,0.0,0.0,21.43,0.2,5.0,40.0,33.33,0.0,0.0,0.0,50.0,0.0,0.0,3.0,41.46,40.0,0.0,0.0,0.0,0.0,47.83,0.2,3.0,14.29,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,47.83,100.0,0.0,37.5,0.0,100.0,0.0,5.0,19.05,16.67,0.0,0.0,100.0,0.0,0.0,0.0,1.0,18.18,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,60.71,58.33,100.0,0.0,0.0,0.0,57.14,0.33,3.0,37.5,33.33,0.0,100.0,0.0,0.0,0.0,0.0,1.0
377,0,66.67,62.5,100.0,0.0,70.0,0.0,0.0,0.67,3.0,44.44,61.54,0.0,0.0,0.0,0.0,28.57,1.0,2.0,33.33,40.0,0.0,0.0,0.0,0.0,33.33,0.33,1.0,66.67,0.0,0.0,0.0,0.0,66.67,0.0,0.0,3.0,33.33,100.0,0.0,0.0,0.0,27.27,0.0,0.0,3.0,50.0,33.33,0.0,0.0,85.71,0.0,50.0,0.0,3.0,50.0,42.86,50.0,0.0,0.0,55.56,0.0,0.33,1.0,40.0,37.5,0.0,0.0,0.0,0.0,50.0,0.0,3.0,75.0,50.0,0.0,100.0,0.0,75.0,0.0,0.0,2.0,45.45,0.0,100.0,0.0,100.0,0.0,42.86,0.67,1.0
378,0,45.76,52.0,66.67,0.0,26.67,0.0,40.0,0.0,4.0,21.74,29.17,0.0,0.0,0.0,0.0,15.0,0.0,6.0,66.67,50.0,100.0,100.0,0.0,50.0,0.0,0.0,2.0,22.22,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.47,40.0,0.0,0.0,33.33,0.0,41.18,0.0,5.0,33.33,37.5,0.0,0.0,0.0,0.0,33.33,0.0,2.0,33.33,27.27,0.0,0.0,0.0,0.0,50.0,0.0,3.0,30.0,0.0,0.0,33.33,0.0,33.33,0.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,0,62.5,37.5,0.0,0.0,0.0,0.0,79.17,0.25,3.0,41.86,35.0,0.0,0.0,0.0,0.0,47.83,0.0,4.0,27.91,41.18,0.0,0.0,15.38,0.0,23.08,0.5,9.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,1.0,37.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0,43.75,45.83,0.0,0.0,42.86,0.0,50.0,0.25,7.0,30.77,30.0,0.0,0.0,0.0,0.0,50.0,0.33,3.0,40.0,27.78,100.0,0.0,0.0,0.0,62.5,0.25,3.0,22.22,0.0,0.0,0.0,0.0,40.0,0.0,0.25,3.0,31.58,20.0,25.0,33.33,0.0,40.0,50.0,0.0,1.0
380,1,42.42,34.29,33.33,0.0,52.38,0.0,57.14,1.0,8.0,46.15,37.5,0.0,0.0,0.0,0.0,52.94,0.0,1.0,35.29,45.0,0.0,0.0,0.0,0.0,23.08,0.2,4.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.62,40.0,0.0,0.0,100.0,0.0,46.67,0.0,3.0,67.65,57.14,0.0,0.0,0.0,0.0,75.0,0.0,2.0,36.36,44.44,100.0,0.0,0.0,0.0,27.27,0.33,0.0,40.0,0.0,0.0,50.0,0.0,66.67,0.0,0.33,3.0,60.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,2.0
381,0,50.0,71.43,0.0,0.0,30.77,0.0,50.0,0.0,6.0,32.0,35.29,50.0,0.0,0.0,0.0,20.0,0.0,2.0,47.37,41.18,0.0,0.0,0.0,0.0,100.0,0.0,2.0,16.67,0.0,100.0,0.0,0.0,0.0,0.0,0.33,2.0,28.57,0.0,0.0,100.0,0.0,25.0,0.0,0.0,1.0,42.37,41.18,0.0,0.0,35.71,0.0,60.0,0.0,5.0,40.91,30.0,50.0,0.0,0.0,0.0,50.0,0.67,1.0,28.57,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,41.67,44.44,0.0,0.0,0.0,0.0,33.33,0.0,0.0,36.36,0.0,0.0,42.86,0.0,33.33,0.0,1.0,0.0
382,1,42.11,33.33,100.0,0.0,38.46,0.0,66.67,0.33,1.0,42.86,57.14,0.0,0.0,0.0,0.0,33.33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.5,50.0,0.0,100.0,0.0,60.0,0.0,0.0,2.0,37.5,0.0,0.0,0.0,0.0,42.86,0.0,0.33,1.0,36.54,30.43,71.43,0.0,30.77,0.0,33.33,0.0,1.0,35.42,42.31,50.0,0.0,50.0,0.0,22.22,0.25,7.0,57.14,57.14,0.0,100.0,0.0,75.0,0.0,0.5,4.0,25.0,28.57,0.0,0.0,0.0,20.0,0.0,0.25,2.0,30.77,0.0,100.0,0.0,0.0,0.0,75.0,0.25,2.0
383,1,48.28,50.0,75.0,0.0,60.0,0.0,25.0,0.0,3.0,38.24,11.11,100.0,0.0,0.0,0.0,66.67,0.2,2.0,35.29,10.0,100.0,0.0,0.0,0.0,43.48,0.0,5.0,40.0,0.0,0.0,0.0,0.0,54.55,0.0,0.0,2.0,66.67,0.0,0.0,0.0,0.0,80.0,0.0,0.33,2.0,43.75,33.33,0.0,0.0,63.16,0.0,41.67,0.4,11.0,40.0,40.0,50.0,0.0,0.0,37.5,0.0,0.0,3.0,44.44,50.0,0.0,0.0,0.0,0.0,44.44,0.0,5.0,30.77,22.22,0.0,0.0,0.0,0.0,66.67,0.0,4.0,50.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0
384,0,35.38,37.84,0.0,0.0,26.09,0.0,60.0,0.25,6.0,31.25,30.43,100.0,0.0,0.0,0.0,29.17,0.25,6.0,75.0,100.0,0.0,0.0,0.0,66.67,0.0,1.0,1.0,40.54,27.78,75.0,0.0,0.0,0.0,36.36,0.0,2.0,50.0,100.0,0.0,0.0,0.0,40.0,0.0,0.0,2.0,33.33,18.75,0.0,0.0,33.33,0.0,80.0,0.0,1.0,23.53,27.27,0.0,0.0,0.0,16.67,0.0,0.0,3.0,28.0,20.0,0.0,0.0,0.0,0.0,66.67,0.0,3.0,28.57,0.0,0.0,33.33,0.0,33.33,0.0,0.0,2.0,55.56,60.0,100.0,0.0,0.0,0.0,33.33,0.25,2.0
385,0,26.67,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,32.43,33.33,50.0,0.0,28.57,0.0,33.33,0.25,3.0,39.13,12.5,0.0,0.0,0.0,0.0,57.14,0.0,1.0,33.33,20.0,0.0,50.0,0.0,40.0,0.0,0.25,1.0,42.86,50.0,0.0,0.0,0.0,40.0,0.0,0.0,4.0,34.33,33.33,100.0,0.0,16.67,0.0,38.46,0.25,3.0,37.14,30.0,75.0,0.0,0.0,0.0,35.0,0.25,3.0,16.67,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3.0,38.46,40.0,33.33,0.0,0.0,40.0,0.0,0.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0
386,0,65.63,75.0,0.0,0.0,75.0,0.0,37.5,0.0,3.0,45.83,10.0,0.0,0.0,0.0,0.0,71.43,0.0,3.0,45.45,28.57,0.0,0.0,0.0,0.0,53.33,0.0,4.0,16.67,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.51,37.5,0.0,0.0,48.0,0.0,25.0,0.2,6.0,32.26,27.27,33.33,0.0,0.0,0.0,35.29,0.0,1.0,28.95,15.79,0.0,0.0,0.0,0.0,44.44,0.0,7.0,28.57,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.67,33.33,0.0,0.0,0.0,55.56,0.0,0.0,5.0
